# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
1,30,27,1.253942104174402e-07,2.858842748949833e-16,82
1,30,28,4.948861963605589e-08,1.474207667290102e-16,31
1,30,29,5.398646076921162e-08,7.196532730995653e-16,30
1,30,30,2.16830910998705e-08,6.808700565788585e-17,15
1,30,31,1.254564667707889e-08,2.091011691664773e-17,15
1,30,32,1.791510248229674e-08,4.219840750290943e-17,12
1,30,33,9.801169465211899e-09,2.200593251874812e-17,7
1,30,34,1.486307076202285e-08,3.358333991535026e-17,12
1,30,35,1.17485463272849e-08,3.857362060133232e-17,8
1,30,36,9.707988400534719e-09,5.1782406746718e-17,4
1,30,37,3.883297792253517e-08,4.039767443769687e-16,10
1,30,38,5.419862182517741e-09,6.359614002960701e-18,6
1,30,39,3.013877178032509e-08,4.677520600367251e-16,8
1,31,0,1.382919128253138e-09,1.140706043325746e-18,2
1,31,1,3.89042420210397e-09,2.269472459936331e-18,8
1,31,2,1.244815814640765e-08,2.731879363560577e-17,12
1,31,3,1.049612061219498e-08,2.446482505119722e-17,12
1,31,4,4.947794431854716e-09,5.302685627070189e-18,7
1,31,5,1.364302674424901e-08,4.857898677847352e-17,11
1,31,6,2.027095031677168e-08,4.714053804760076e-17,15
1,31,7,1.48750418765317e-08,3.093496180690207e-17,14
1,31,8,4.437540408857756e-08,7.560339682945608e-16,19
1,31,9,2.043622854798293e-08,1.47631347088654e-16,10
1,31,10,5.832412726959914e-09,6.161107323041086e-18,9
1,31,11,2.414831511525122e-08,6.200517096699126e-17,16
1,31,12,3.067971990250952e-08,6.695531859455776e-17,21
1,31,13,8.430432992929981e-08,1.8997502697253e-16,53
1,31,14,2.160069007596257e-07,5.035826959171229e-16,133
1,31,15,3.152568105247342e-07,1.193538863781616e-15,197
1,31,16,3.481283228403694e-07,2.408914997637434e-15,226
1,31,17,3.286740204524348e-07,1.841555587140417e-15,209
1,31,18,2.912580499891007e-07,1.822897511368357e-15,207
1,31,19,3.765812180867019e-07,1.336228255924536e-15,237
1,31,20,2.841125357222475e-07,1.684239741840827e-15,223
1,31,21,4.634473618711856e-07,5.534196209454039e-15,223
1,31,22,5.474205290845716e-07,7.739632923424407e-15,250
1,31,23,3.316180356131293e-07,1.170874455691178e-15,230
1,31,24,2.755130530730019e-07,8.822217472727168e-16,183
1,31,25,2.090257720050263e-07,6.390252485758789e-16,125
1,31,26,6.879473574273162e-08,1.684160666439732e-16,40
1,31,27,3.058251056963822e-08,1.084933758665357e-16,19
1,31,28,3.064064461216598e-08,1.363118325831145e-16,15
1,31,29,3.157440759649864e-08,2.986319089436917e-16,15
1,31,30,2.048372828324748e-08,3.403633498148615e-17,19
1,31,31,2.734748613447666e-08,9.698423993811611e-17,15
1,31,32,1.059638458160608e-08,3.723462644313507e-17,7
1,31,33,7.945627936765784e-09,1.05002686588511e-17,7
1,31,34,1.147082464707341e-08,7.625579285649536e-17,6
1,31,35,4.744699056792466e-09,3.829518924920396e-18,7
1,31,36,7.245129583700743e-09,1.526815089619187e-17,5
1,31,37,1.692438073876398e-08,8.772994826258351e-17,8
1,31,38,2.151065014308555e-08,1.133598928974361e-16,9
1,31,39,9.422446058147443e-09,1.493242646951519e-17,12
1,32,0,5.903955210132312e-09,6.737770543191779e-18,6
1,32,1,1.089502755334042e-08,1.544921285272451e-17,12
1,32,2,5.568485264707954e-09,5.205331302141127e-18,8
1,32,3,1.417447657772903e-08,3.495589239777282e-17,11
1,32,4,6.83523751360735e-09,1.642828673318098e-17,5
1,32,5,4.15772715836714e-09,4.718138679481377e-18,6
1,32,6,2.056817300538606e-08,4.809078487469402e-17,15
1,32,7,1.369407589696654e-08,3.467150664605622e-17,11
1,32,8,1.528002602936999e-08,3.31503249365255e-17,12
1,32,9,1.265051568009045e-08,1.616081827407706e-17,13
1,32,10,1.889588620523287e-08,4.714133408630766e-17,14
1,32,11,2.033829478012254e-08,5.862278552287693e-17,18
1,32,12,1.618123819782199e-08,5.527356439730235e-17,12
1,32,13,1.297767171812299e-08,1.442265353694819e-17,15
1,32,14,3.36679101644516e-08,6.233389913217175e-17,27
1,32,15,6.275617024846338e-08,1.507202118656015e-16,35
1,32,16,1.522304042245204e-07,3.321266152593082e-16,94
1,32,17,2.0752138873763e-07,4.265482636024906e-16,146
1,32,18,2.501645582405437e-07,7.224497136041637e-16,171
1,32,19,2.565737976923449e-07,6.846179487772907e-16,171
1,32,20,2.694824443839694e-07,7.993818900631274e-16,173
1,32,21,2.382918641337456e-07,5.344876285294855e-16,185
1,32,22,2.120213912031066e-07,5.216478345155574e-16,130
1,32,23,8.940160841564501e-08,1.817018973963116e-16,61
1,32,24,4.925086312131812e-08,1.069101787716632e-16,30
1,32,25,6.091864341100359e-08,4.630094585706367e-16,30
1,32,26,2.25523863600715e-08,5.402792934310951e-17,15
1,32,27,2.033769176039401e-08,6.536585063949709e-17,14
1,32,28,2.358073067233624e-08,9.263404531271715e-17,13
1,32,29,2.978817020367837e-08,1.998745126309362e-16,14
1,32,30,3.890119168557018e-08,1.825391652763787e-16,18
1,32,31,1.768285202721476e-08,3.368339377422379e-17,15
1,32,32,1.613731234059335e-08,1.20925683867059e-16,11
1,32,33,4.380722223336297e-09,5.292861476004647e-18,5
1,32,34,8.564522991323272e-08,5.430117588343312e-15,10
1,32,35,1.285322587056622e-08,3.797224321245456e-17,8
1,32,36,2.62432846076526e-09,1.601696727132976e-18,5
1,32,37,1.502851804669481e-08,5.307463301908081e-17,10
1,32,38,1.265287763639591e-08,6.136845775106455e-17,6
1,32,39,9.520001531155628e-09,3.038056447090001e-17,6
1,33,0,1.011305964120368e-08,2.519695646151092e-17,8
1,33,1,2.032825260982439e-08,1.488350386950448e-16,6
1,33,2,3.953518586284197e-09,5.720550316520159e-18,5
1,33,3,4.577648764499585e-09,4.447832341715908e-18,6
1,33,4,5.572968955465429e-09,5.486182788626707e-18,9
1,33,5,6.14752774966921e-08,1.504864263731892e-15,11
1,33,6,2.06474686480148e-08,5.738987237330366e-17,17
1,33,7,1.602577149380509e-08,7.544229936120469e-17,9
1,33,8,1.121990473845919e-08,3.525670071964555e-17,11
1,33,9,2.707749615174987e-08,1.455906402943649e-16,12
1,33,10,9.945997934071486e-09,1.598988314472006e-17,10
1,33,11,2.627079224713708e-08,1.351739792286461e-16,16
1,33,12,1.261248752013205e-08,1.925664219822768e-17,12
1,33,13,2.477618157826911e-08,8.810664137464333e-17,15
1,33,14,1.893038541605101e-08,3.347037838987625e-17,16
1,33,15,2.954816995246228e-08,7.95862274960519e-17,19
1,33,16,5.427632963674536e-08,4.745336086916524e-16,17
1,33,17,5.49096118188336e-08,4.339361207203936e-16,19
1,33,18,5.559975199219436e-08,1.35502701025137e-16,33
1,33,19,3.616009268403606e-08,7.146166549045017e-17,22
1,33,20,4.095709384622375e-08,8.875009158328453e-17,26
1,33,21,5.864676017111075e-08,3.740832436069905e-16,26
1,33,22,4.133515468346062e-08,9.671760611318474e-17,27
1,33,23,2.518823036252882e-08,6.990879212622182e-17,12
1,33,24,1.556338978542767e-08,6.595617088549891e-17,10
1,33,25,4.493328601282809e-08,4.144725404454064e-16,21
1,33,26,1.428328503760201e-08,7.101314402086403e-17,13
1,33,27,1.660569529180793e-08,2.53155893776696e-17,18
1,33,28,6.041051378720771e-09,7.391659688810642e-18,8
1,33,29,5.030395410270011e-09,9.562812915754601e-18,5
1,33,30,3.212949626721478e-08,1.943631362900169e-16,12
1,33,31,5.532917533293183e-09,9.802469910013351e-18,8
1,33,32,2.176577645929632e-08,8.964399339760771e-17,14
1,33,33,1.100195240394049e-08,2.397770006651789e-17,9
1,33,34,9.702731650436969e-09,1.767306302035661e-17,7
1,33,35,1.816344587062658e-08,1.111545302972688e-16,7
1,33,36,2.027939500813751e-08,1.59986050617959e-16,8
1,33,37,5.022607332775142e-09,4.694365981275915e-18,8
1,33,38,8.909047968477379e-09,1.753520318816855e-17,9
1,33,39,2.994492121224028e-08,4.99517166295036e-16,9
1,34,0,2.813706746484088e-08,2.761680344905785e-16,12
1,34,1,1.640660712971533e-08,4.849186137653297e-17,13
1,34,2,1.05999919747654e-08,2.24332038276224e-17,9
1,34,3,4.465045747904397e-08,7.526301929707157e-16,10
1,34,4,2.517449951722652e-08,3.334120758997587e-16,7
1,34,5,1.785125644042781e-08,5.20083165201197e-17,11
1,34,6,1.87946962471926e-08,5.354541521109432e-17,17
1,34,7,2.360467482762639e-08,9.211660687081984e-17,12
1,34,8,9.722321208973699e-09,1.243390864534994e-17,13
1,34,9,1.788097681589804e-08,3.827958730964426e-17,17
1,34,10,2.330221721015405e-08,4.715036359639532e-17,20
1,34,11,1.688354832646005e-08,2.417252452494411e-17,16
1,34,12,2.006744607964001e-08,7.334871402954123e-17,14
1,34,13,2.837807642846953e-08,1.472344209005411e-16,15
1,34,14,1.222914078993671e-08,2.397659263965068e-17,12
1,34,15,9.053732223142993e-09,1.31198330876167e-17,12
1,34,16,1.996177848789555e-08,4.945928450685799e-17,17
1,34,17,1.221133804531586e-08,3.070892515205563e-17,12
1,34,18,2.428526496053913e-08,9.151932433291976e-17,17
1,34,19,1.755769903383094e-08,6.91089368541813e-17,12
1,34,20,1.631497252250509e-08,5.686467779725167e-17,10
1,34,21,1.182290049845132e-08,1.681958841845423e-17,12
1,34,22,2.164965052787177e-08,4.996670349035224e-17,18
1,34,23,3.286920032417254e-08,4.123223253216048e-16,8
1,34,24,2.916938138591844e-08,9.405403871813764e-17,14
1,34,25,3.144711437793007e-08,5.900757714084951e-16,11
1,34,26,9.807166821710821e-09,1.261401145310589e-17,11
1,34,27,1.705043014507933e-08,2.646948183166628e-17,17
1,34,28,2.061483256491999e-08,9.443133511411359e-17,13
1,34,29,1.536060312880409e-08,4.738767436368977e-17,11
1,34,30,1.381661458308101e-08,2.656405008797452e-17,11
1,34,31,3.927685155174501e-09,7.08461849208274e-18,3
1,34,32,4.433530718646254e-08,1.053913111807501e-15,12
1,34,33,7.812229312539086e-09,8.070366290172709e-18,10
1,34,34,1.235538348012357e-08,2.970725585983698e-17,10
1,34,35,2.928390905289527e-09,4.374278720954592e-18,3
1,34,36,6.340703793149933e-09,1.945336954763473e-17,4
1,34,37,1.238629156383261e-08,4.024208342720052e-17,8
1,34,38,1.409306203865964e-08,3.644084444649232e-17,9
1,34,39,1.170236321632716e-08,2.394498960947137e-17,10
1,35,0,3.18470413330513e-09,2.688076092631661e-18,5
1,35,1,1.443383442226976e-08,3.478982757016943e-17,11
1,35,2,4.0379946588232e-09,6.972100903036557e-18,3
1,35,3,1.833692782386134e-08,1.030529018254469e-16,10
1,35,4,8.233203336364949e-09,4.046638509992095e-17,5
1,35,5,6.727587120959881e-08,3.194361831066797e-15,9
1,35,6,7.566832953383484e-09,9.527546197895001e-18,10
1,35,7,4.949055024574408e-08,4.985804461326194e-16,16
1,35,8,4.490840524256755e-08,5.244183037983972e-16,21
1,35,9,1.135179188397614e-08,1.994176811253198e-17,11
1,35,10,2.317968814145149e-08,9.170903490809782e-17,12
1,35,11,4.11260376416896e-08,5.893533307667192e-16,16
1,35,12,2.535560468290704e-08,7.797325976193792e-17,14
1,35,13,1.529106154094617e-08,3.011487611889929e-17,14
1,35,14,1.210107762898736e-08,1.614030600544988e-17,11
1,35,15,3.334257123927727e-08,5.703232620809984e-16,7
1,35,16,3.381036625233736e-08,1.462490398924725e-16,15
1,35,17,2.244789296151525e-08,7.724311470058008e-17,10
1,35,18,1.149435100673184e-08,4.043302884307078e-17,8
1,35,19,1.417550623029469e-08,2.265908893263828e-17,13
1,35,20,1.729742994836073e-08,3.824929999887041e-17,13
1,35,21,1.615465591818264e-08,3.405723371473809e-17,13
1,35,22,2.718860786182712e-08,8.00754329064179e-17,21
1,35,23,3.678125661968353e-09,2.684361188960023e-18,8
1,35,24,2.238740866113127e-08,5.395973938785974e-17,20
1,35,25,1.267893709814941e-08,2.356073255325133e-17,12
1,35,26,2.231550801282739e-08,6.510561969929868e-17,18
1,35,27,9.303088971865014e-09,1.291910276494255e-17,12
1,35,28,2.71258513489234e-08,8.856299971969874e-17,15
1,35,29,9.369582230599482e-09,1.202618948991698e-17,10
1,35,30,9.25888518617087e-09,1.240405623803359e-17,11
1,35,31,1.232992242068711e-08,1.766441627716966e-17,11
1,35,32,1.353818737568302e-08,3.666101447301998e-17,10
1,35,33,1.850256484173976e-08,5.228993598516775e-17,14
1,35,34,6.856546815588242e-09,7.111484523661723e-18,10
1,35,35,3.34206210917847e-09,3.729997626209626e-18,5
1,35,36,1.247480653336897e-08,6.195736880713974e-17,4
1,35,37,1.179649575201575e-08,2.866916414982684e-17,8
1,35,38,7.841345470699966e-09,1.489778531282839e-17,6
1,35,39,2.733269430395643e-08,1.618168346294981e-16,13
1,36,0,6.989304894724935e-09,7.484081751380259e-18,8
1,36,1,1.170184328145785e-08,3.554111735476507e-17,10
1,36,2,1.080047786298084e-08,3.123485274297258e-17,10
1,36,3,1.085663194628254e-08,2.030886736626284e-17,8
1,36,4,2.196020210891896e-08,1.918111702632426e-16,12
1,36,5,2.799350407360469e-08,1.99442740996219e-16,8
1,36,6,6.621502412307088e-09,7.589486446885215e-18,9
1,36,7,2.756285453841472e-08,2.395904452792447e-16,7
1,36,8,2.316116144172714e-08,2.313512481983662e-16,10
1,36,9,3.41089016954878e-08,4.436328557762201e-16,11
1,36,10,1.283038742224959e-08,2.654555836006269e-17,8
1,36,11,1.409134872437107e-08,2.221253487861852e-17,12
1,36,12,9.412383898200995e-09,1.148280617191656e-17,14
1,36,13,2.978790882419482e-08,1.078580155254024e-16,22
1,36,14,1.863627583327892e-08,4.522462961545852e-17,13
1,36,15,9.607817280684422e-09,1.018098013500203e-17,13
1,36,16,2.217588423153646e-08,4.327586964097079e-17,17
1,36,17,1.804607729268127e-08,5.716132429750977e-17,11
1,36,18,1.459003687000657e-08,3.125712250184885e-17,13
1,36,19,1.283202698946338e-08,4.846800255623027e-17,7
1,36,20,1.356744449112162e-08,2.956129112860082e-17,11
1,36,21,1.811893682621013e-08,4.206637872665863e-17,16
1,36,22,1.629213310189944e-08,2.757320266582418e-17,17
